date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:04	131897/131897	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:45%20GMT	https://template.hasthemes.com/antomi/antomi/shop-fullwidth.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/shop-fullwidth.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:04	131702/131702	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:43%20GMT	https://template.hasthemes.com/antomi/antomi/shop-fullwidth-list.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/shop-fullwidth-list.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:05	140278/140278	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:48%20GMT	https://template.hasthemes.com/antomi/antomi/shop-right-sidebar-list.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/shop-right-sidebar-list.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:05	140474/140474	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:49%20GMT	https://template.hasthemes.com/antomi/antomi/shop-right-sidebar.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/shop-right-sidebar.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:05	140261/140261	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:47%20GMT	https://template.hasthemes.com/antomi/antomi/shop-list.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/shop-list.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:05	51366/51366	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:11%20GMT	https://template.hasthemes.com/antomi/antomi/cart.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/cart.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:06	49698/49698	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:55%20GMT	https://template.hasthemes.com/antomi/antomi/wishlist.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/wishlist.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:06	63931/63931	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:13%20GMT	https://template.hasthemes.com/antomi/antomi/checkout.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/checkout.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:07	55606/55606	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:34%20GMT	https://template.hasthemes.com/antomi/antomi/my-account.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/my-account.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:07	45348/45348	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:03%20GMT	https://template.hasthemes.com/antomi/antomi/404.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/404.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:07	101400/101400	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:40%20GMT	https://template.hasthemes.com/antomi/antomi/product-details.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/product-details.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:08	116337/116337	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:43%20GMT	https://template.hasthemes.com/antomi/antomi/product-sidebar.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/product-sidebar.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:08	86897/86897	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:40%20GMT	https://template.hasthemes.com/antomi/antomi/product-grouped.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/product-grouped.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:08	102483/102483	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:53%20GMT	https://template.hasthemes.com/antomi/antomi/variable-product.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/variable-product.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:08	101601/101601	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:38%20GMT	https://template.hasthemes.com/antomi/antomi/product-countdown.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/product-countdown.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:09	68570/68570	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:11%20GMT	https://template.hasthemes.com/antomi/antomi/blog.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/blog.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:09	66989/66989	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:05%20GMT	https://template.hasthemes.com/antomi/antomi/blog-details.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/blog-details.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:09	67693/67693	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:07%20GMT	https://template.hasthemes.com/antomi/antomi/blog-fullwidth.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/blog-fullwidth.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:09	68599/68599	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:09%20GMT	https://template.hasthemes.com/antomi/antomi/blog-sidebar.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/blog-sidebar.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:10	59511/59511	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:08%20GMT	https://template.hasthemes.com/antomi/antomi/blog-no-sidebar.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/blog-no-sidebar.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:10	60409/60409	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:04%20GMT	https://template.hasthemes.com/antomi/antomi/about.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/about.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:10	55033/55033	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:17%20GMT	https://template.hasthemes.com/antomi/antomi/faq.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/faq.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:10	50157/50157	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:38%20GMT	https://template.hasthemes.com/antomi/antomi/privacy-policy.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/privacy-policy.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:11	48034/48034	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:15%20GMT	https://template.hasthemes.com/antomi/antomi/contact.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/contact.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:11	47427/47427	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:36%20GMT	https://template.hasthemes.com/antomi/antomi/login.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/login.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:11	52542/52542	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:15%20GMT	https://template.hasthemes.com/antomi/antomi/compare.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/compare.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:12	3049/3049	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:12%20GMT	https://template.hasthemes.com/antomi/antomi/coming-soon.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/coming-soon.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:12	2309/2309	---MC-	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2011:39:12%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/logo/logo.png	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/logo/logo.png	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:12	15043/15043	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Nov%202021%2011:39:12%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/s-product/product.jpg	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/s-product/product.jpg	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:13	18106/18106	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Nov%202021%2011:39:12%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/s-product/product2.jpg	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/s-product/product2.jpg	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:13	57450/57450	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Nov%202021%2011:39:13%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/slider/slider17.jpg	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/slider/slider17.jpg	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:13	34704/34704	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Nov%202021%2011:39:13%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/slider/slider18.jpg	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/slider/slider18.jpg	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:13	442/442	---MC-	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2011:39:13%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/about/shipping1.png	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/about/shipping1.png	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
